session_duration_sec,pages_viewed,clicks,ad_impressions,device_type,traffic_source,cart_additions,past_purchases,conversion
1026,33,32,348,Mobile,Instagram,0,18,0
2353,28,52,487,Mobile,Facebook,9,21,1
2777,37,92,145,Desktop,Organic,18,44,1
347,8,71,12,Desktop,GoogleAds,2,33,0
888,34,32,244,Desktop,Organic,6,18,1
1086,5,40,498,Tablet,Facebook,3,49,0
801,5,18,146,Mobile,GoogleAds,4,11,1
2274,31,84,239,Mobile,GoogleAds,5,17,1
773,9,40,92,Tablet,Organic,9,4,1
2245,32,84,316,Mobile,Organic,11,25,1
389,33,88,323,Mobile,Facebook,13,26,0
502,3,41,115,Tablet,GoogleAds,1,19,0
3122,30,22,15,Mobile,Email,2,7,0
1190,12,74,272,Desktop,Organic,0,15,0
2072,29,32,22,Tablet,Email,2,1,0
74,3,19,118,Mobile,Email,14,44,0
2578,26,24,369,Desktop,GoogleAds,15,0,1
1377,30,89,95,Mobile,Facebook,19,4,1
1162,9,51,447,Tablet,Email,1,30,0
2037,26,11,415,Desktop,Facebook,19,22,1
2705,2,31,257,Mobile,Organic,15,20,1
1505,3,32,331,Tablet,GoogleAds,14,11,1
3144,4,73,262,Mobile,Instagram,6,3,1
1172,25,67,87,Mobile,GoogleAds,4,36,1
1532,13,14,393,Desktop,Instagram,4,10,1
2650,39,50,436,Mobile,Organic,8,41,1
401,35,5,464,Tablet,Facebook,13,39,0
1708,23,90,318,Tablet,Organic,18,8,1
428,9,68,58,Desktop,GoogleAds,17,25,0
2346,2,68,230,Desktop,Instagram,8,38,1
388,31,81,108,Mobile,Instagram,2,26,0
1806,2,91,19,Tablet,GoogleAds,10,28,1
3571,32,34,365,Desktop,GoogleAds,14,45,1
2288,18,85,141,Mobile,Organic,3,42,0
3075,13,33,379,Mobile,Email,4,49,1
2098,5,62,160,Tablet,Instagram,17,24,1
3109,10,67,100,Tablet,GoogleAds,11,17,1
2192,25,17,265,Mobile,Organic,0,29,0
210,34,25,238,Tablet,Email,19,7,0
1873,37,85,238,Mobile,Facebook,1,1,0
789,30,96,49,Mobile,GoogleAds,8,21,1
2987,7,60,165,Tablet,Email,17,20,1
3114,6,77,287,Desktop,Facebook,4,38,1
3129,3,94,415,Mobile,Facebook,13,25,1
512,13,73,59,Tablet,Organic,10,28,0
2464,3,87,183,Mobile,Instagram,2,4,0
1761,26,84,147,Mobile,GoogleAds,8,45,1
814,24,47,447,Mobile,Email,1,13,0
2156,6,71,386,Tablet,Facebook,13,34,1
2741,12,95,301,Tablet,Instagram,1,5,0
1905,36,30,96,Tablet,Facebook,9,22,1
2783,2,33,43,Desktop,GoogleAds,18,16,1
1580,11,86,354,Mobile,GoogleAds,1,23,0
970,39,88,257,Desktop,Organic,15,39,1
2670,34,6,213,Mobile,GoogleAds,5,28,1
1495,26,82,189,Tablet,GoogleAds,11,29,1
2700,18,6,131,Mobile,GoogleAds,6,23,1
1038,21,46,347,Mobile,Instagram,3,34,0
3299,36,7,300,Mobile,Email,7,46,1
512,22,77,391,Desktop,Email,18,36,0
2824,30,0,289,Tablet,GoogleAds,9,1,1
407,30,76,137,Tablet,Email,0,20,0
880,8,2,30,Mobile,GoogleAds,4,39,1
2852,34,52,146,Tablet,Email,5,40,1
402,9,91,312,Desktop,Email,18,4,0
216,20,37,474,Desktop,Facebook,17,34,0
1048,25,50,468,Tablet,Instagram,18,43,1
1891,19,14,486,Desktop,Facebook,18,34,1
2949,5,99,105,Desktop,Facebook,0,18,0
1494,11,66,287,Tablet,Email,19,15,1
873,15,63,456,Tablet,Organic,10,24,1
2800,8,67,191,Mobile,Organic,2,15,0
3322,19,4,471,Mobile,Instagram,9,30,1
573,23,89,178,Desktop,GoogleAds,6,32,0
1030,27,88,345,Tablet,Email,16,16,1
105,32,9,239,Desktop,Instagram,15,20,0
1933,26,7,1,Tablet,Facebook,6,34,1
1767,27,11,110,Desktop,Email,12,48,1
2542,19,63,338,Desktop,Facebook,11,22,1
3488,29,58,275,Desktop,Instagram,11,48,1
2288,39,66,371,Mobile,Organic,7,15,1
2806,33,90,382,Tablet,Instagram,7,37,1
1688,19,49,234,Desktop,Email,12,49,1
3252,37,22,64,Mobile,Email,10,13,1
550,19,39,244,Desktop,GoogleAds,0,39,0
1069,33,96,53,Desktop,Organic,16,40,1
2582,16,77,262,Tablet,Email,18,49,1
1193,23,86,17,Desktop,Organic,12,32,1
1732,7,94,302,Tablet,Email,14,20,1
3324,26,76,493,Mobile,Organic,11,16,1
3167,32,75,456,Mobile,Instagram,16,3,1
1829,12,98,374,Desktop,Organic,2,15,0
2635,8,17,234,Mobile,Facebook,6,29,1
2739,5,20,73,Tablet,Instagram,1,43,0
2614,28,0,357,Tablet,Email,1,44,0
1607,5,37,439,Mobile,Email,5,33,1
3070,26,40,91,Tablet,GoogleAds,3,21,0
2703,5,41,484,Tablet,Facebook,15,43,1
805,22,8,6,Desktop,GoogleAds,14,41,1
1061,15,22,198,Desktop,Instagram,9,28,1
1653,13,77,365,Tablet,GoogleAds,13,46,1
1373,28,10,196,Mobile,Instagram,8,4,1
1991,33,70,470,Tablet,GoogleAds,14,0,1
1364,23,30,296,Desktop,Organic,6,39,1
1673,33,87,347,Mobile,Instagram,6,24,1
1539,18,25,485,Tablet,Instagram,7,49,1
2048,30,29,322,Mobile,Organic,18,5,1
3429,26,33,137,Mobile,Organic,17,22,1
1506,16,45,267,Mobile,Facebook,16,32,1
3312,13,68,404,Tablet,Organic,17,13,1
2247,39,4,116,Desktop,GoogleAds,18,41,1
3306,33,60,43,Mobile,Organic,7,35,1
1418,26,82,231,Mobile,Organic,12,17,1
1410,1,37,58,Tablet,Instagram,10,39,1
1316,38,27,206,Desktop,Instagram,18,43,1
2690,2,25,410,Desktop,Organic,6,9,1
2685,6,60,294,Tablet,Facebook,4,44,1
982,38,22,94,Mobile,Instagram,4,38,1
1778,24,45,36,Tablet,GoogleAds,7,48,1
1292,18,29,230,Desktop,GoogleAds,9,11,1
3440,27,66,227,Mobile,Organic,4,37,1
719,8,91,183,Mobile,Organic,14,22,1
1489,28,32,262,Desktop,Facebook,15,6,1
1444,10,2,131,Mobile,Organic,9,44,1
658,17,68,65,Tablet,Email,7,45,1
327,29,82,380,Desktop,Email,18,24,0
3306,6,41,448,Desktop,Organic,3,12,0
1267,14,61,186,Mobile,Email,13,37,1
693,22,57,117,Desktop,GoogleAds,7,18,1
673,6,56,186,Tablet,Organic,13,44,1
2008,26,0,274,Desktop,GoogleAds,11,21,1
3455,39,72,151,Mobile,GoogleAds,0,40,0
1641,12,59,352,Desktop,Email,18,10,1
1505,35,68,413,Mobile,Facebook,17,41,1
3314,14,58,151,Mobile,GoogleAds,11,2,1
1146,22,45,384,Tablet,Email,9,18,1
1863,23,33,36,Desktop,Facebook,0,26,0
1530,7,96,326,Tablet,Email,13,6,1
2499,25,24,465,Tablet,Email,8,36,1
573,13,41,466,Desktop,Organic,14,26,0
1301,21,28,95,Tablet,Instagram,13,46,1
3591,10,24,134,Tablet,Facebook,8,33,1
3467,9,53,162,Mobile,Email,10,10,1
3468,15,72,44,Tablet,GoogleAds,4,37,1
3194,2,66,300,Desktop,GoogleAds,11,4,1
1646,25,14,283,Mobile,Instagram,15,6,1
3009,13,3,356,Tablet,Facebook,19,35,1
3162,34,37,240,Tablet,Organic,2,4,0
708,34,19,52,Desktop,Facebook,4,4,1
2170,35,22,426,Tablet,GoogleAds,18,26,1
11,38,36,281,Desktop,GoogleAds,4,28,0
651,3,61,74,Tablet,Organic,17,26,1
2277,6,7,295,Tablet,Organic,3,31,0
1599,19,36,238,Desktop,GoogleAds,14,24,1
864,3,44,167,Mobile,Email,4,41,1
1769,18,96,140,Desktop,Email,7,49,1
3306,39,32,139,Mobile,Organic,15,33,1
2442,9,6,369,Mobile,Email,0,14,0
3484,12,21,235,Desktop,Organic,4,40,1
1671,5,4,3,Desktop,Facebook,17,33,1
1163,3,14,256,Tablet,Facebook,15,34,1
1086,11,20,371,Tablet,Facebook,9,19,1
1717,30,88,278,Mobile,Organic,3,23,0
2787,4,16,4,Tablet,Organic,17,33,1
1705,5,55,392,Desktop,Email,16,33,1
1743,1,49,270,Mobile,Email,12,45,1
1449,27,6,212,Tablet,Email,7,26,1
2304,28,49,216,Tablet,Instagram,7,49,1
845,29,59,270,Desktop,Organic,11,20,1
3520,18,82,476,Desktop,Facebook,17,32,1
212,12,6,16,Tablet,Facebook,5,38,0
3265,13,39,416,Mobile,Instagram,6,39,1
132,2,44,64,Mobile,Instagram,16,43,0
410,37,58,239,Desktop,Facebook,4,35,0
776,16,87,460,Desktop,Organic,18,24,1
303,24,74,16,Desktop,Facebook,7,6,0
2337,35,54,52,Tablet,Facebook,18,49,1
2941,22,63,19,Tablet,Instagram,7,49,1
207,36,64,325,Desktop,Instagram,18,9,0
3039,11,53,396,Mobile,Email,6,9,1
1940,29,95,93,Desktop,Instagram,2,37,0
3592,35,39,261,Desktop,Facebook,5,23,1
2809,15,52,298,Mobile,Email,7,43,1
2201,31,43,17,Mobile,Facebook,17,9,1
618,16,62,111,Mobile,Organic,14,44,1
3282,10,1,328,Mobile,Organic,16,25,1
1157,32,78,360,Tablet,Instagram,3,29,0
196,2,20,488,Tablet,Email,6,26,0
3407,24,87,94,Desktop,GoogleAds,16,43,1
2521,23,49,10,Tablet,Organic,5,18,1
3430,2,80,212,Desktop,Organic,12,0,1
1804,38,51,237,Desktop,Organic,6,32,1
669,31,8,254,Mobile,Organic,8,10,1
2821,26,98,16,Mobile,Instagram,18,49,1
3012,29,19,489,Tablet,Email,19,33,1
1965,3,82,144,Tablet,Organic,12,37,1
2460,14,17,42,Tablet,Instagram,14,15,1
1379,25,83,3,Tablet,Email,16,0,1
1996,1,29,407,Mobile,Email,4,40,1
1544,3,64,470,Mobile,GoogleAds,18,27,1
156,26,23,377,Tablet,Facebook,5,14,0
3229,18,87,156,Desktop,Organic,11,15,1
2921,9,46,494,Mobile,Instagram,14,45,1
1744,38,82,173,Mobile,Email,14,31,1
1853,23,93,484,Mobile,GoogleAds,2,38,0
498,21,89,452,Mobile,Facebook,3,0,0
2986,1,43,486,Tablet,Email,4,47,1
1969,21,28,24,Tablet,Email,5,8,1
1673,27,76,275,Desktop,Organic,5,28,1
2608,6,67,75,Mobile,Facebook,16,24,1
2395,36,16,40,Tablet,Facebook,7,10,1
2929,28,96,302,Tablet,Instagram,18,41,1
650,17,4,40,Mobile,GoogleAds,19,10,1
1812,3,91,62,Tablet,Instagram,12,5,1
2530,12,87,238,Tablet,GoogleAds,14,33,1
1979,39,80,487,Tablet,Instagram,16,49,1
2208,12,49,245,Desktop,GoogleAds,16,43,1
1448,2,39,18,Tablet,Organic,1,13,0
3379,22,45,140,Mobile,GoogleAds,2,7,0
1644,23,50,398,Mobile,Instagram,8,24,1
272,30,10,495,Mobile,Facebook,5,3,0
1797,5,11,82,Tablet,Email,0,49,0
2201,9,12,189,Desktop,GoogleAds,18,30,1
2403,21,63,108,Tablet,GoogleAds,3,20,0
633,11,7,234,Mobile,Facebook,12,44,1
1026,5,64,268,Desktop,Organic,19,31,1
890,35,8,104,Desktop,Instagram,7,13,1
2059,27,91,411,Tablet,Organic,4,27,1
2954,2,1,134,Mobile,GoogleAds,9,24,1
1337,24,77,344,Tablet,GoogleAds,19,27,1
2311,31,12,371,Mobile,Organic,18,14,1
462,33,1,33,Desktop,Instagram,11,45,0
3118,39,67,237,Tablet,GoogleAds,0,43,0
1193,30,75,374,Desktop,GoogleAds,8,21,1
3072,37,47,336,Mobile,Organic,15,46,1
2066,28,73,178,Desktop,Email,16,5,1
3314,31,2,12,Desktop,Facebook,17,1,1
3180,11,67,351,Desktop,GoogleAds,13,5,1
1692,23,5,441,Tablet,Instagram,16,22,1
2873,2,86,229,Mobile,Email,0,25,0
2265,27,4,309,Desktop,Organic,14,10,1
1164,35,2,269,Desktop,Organic,18,0,1
413,2,9,378,Desktop,Instagram,1,27,0
2209,39,42,456,Desktop,Email,13,21,1
2111,37,18,358,Mobile,Instagram,1,40,0
3201,21,13,131,Mobile,GoogleAds,14,12,1
1706,5,20,249,Tablet,Email,0,40,0
637,21,42,448,Mobile,Facebook,0,46,0
596,29,27,468,Mobile,Facebook,11,49,0
1658,20,20,58,Desktop,Instagram,14,35,1
1453,38,35,4,Tablet,Facebook,17,21,1
1455,20,23,236,Tablet,Instagram,14,3,1
113,25,53,173,Desktop,GoogleAds,6,43,0
263,2,37,322,Tablet,GoogleAds,11,40,0
3308,32,16,371,Mobile,Instagram,9,17,1
3193,26,21,36,Tablet,GoogleAds,1,37,0
2567,6,82,279,Desktop,Facebook,1,16,0
1506,3,44,237,Tablet,GoogleAds,5,24,1
108,33,73,275,Tablet,Facebook,19,16,0
2210,1,60,296,Tablet,Facebook,5,28,1
1894,5,10,328,Desktop,Organic,9,44,1
2971,13,60,400,Mobile,GoogleAds,2,43,0
1929,19,37,58,Tablet,GoogleAds,15,45,1
887,12,65,363,Mobile,Instagram,4,7,1
347,25,32,18,Mobile,Instagram,4,28,0
2879,35,42,36,Mobile,Email,9,14,1
3244,12,30,408,Tablet,Facebook,12,40,1
966,30,34,129,Mobile,Organic,2,32,0
1714,5,36,1,Tablet,Facebook,17,48,1
170,34,46,64,Tablet,GoogleAds,18,9,0
1613,22,99,62,Tablet,Email,5,36,1
2858,39,22,366,Mobile,Facebook,19,10,1
407,13,35,420,Tablet,Email,0,34,0
1310,3,39,331,Desktop,Facebook,9,33,1
825,20,89,146,Desktop,GoogleAds,9,31,1
1537,31,88,272,Desktop,GoogleAds,0,21,0
1929,5,80,17,Tablet,Facebook,18,3,1
1425,24,14,280,Desktop,Organic,10,1,1
1168,33,36,98,Tablet,GoogleAds,12,32,1
1228,8,3,452,Tablet,Instagram,16,8,1
410,24,21,227,Tablet,Organic,19,34,0
649,20,80,463,Mobile,Facebook,17,37,1
3114,16,21,386,Desktop,Organic,3,30,0
2745,12,80,243,Tablet,Instagram,14,13,1
469,13,77,479,Desktop,GoogleAds,1,30,0
964,39,77,201,Desktop,GoogleAds,5,32,1
479,25,16,394,Mobile,GoogleAds,8,43,0
3456,32,71,437,Desktop,Instagram,10,15,1
1055,24,97,473,Tablet,Organic,19,19,1
2807,9,89,179,Tablet,Facebook,15,49,1
1703,23,93,453,Desktop,Facebook,7,13,1
2095,13,85,270,Desktop,Organic,16,34,1
2287,32,79,234,Mobile,GoogleAds,3,45,0
3446,15,93,112,Tablet,Facebook,6,48,1
572,36,79,486,Desktop,GoogleAds,10,44,0
2495,5,37,488,Desktop,Email,10,32,1
1809,22,23,66,Tablet,Email,10,28,1
3364,16,99,338,Desktop,Facebook,14,7,1
2084,10,98,349,Mobile,Organic,4,33,1
235,24,5,437,Desktop,Organic,5,46,0
3358,18,67,245,Desktop,Organic,4,13,1
807,18,81,245,Mobile,GoogleAds,8,13,1
2341,7,5,468,Mobile,Email,10,49,1
2936,4,25,448,Mobile,GoogleAds,2,14,0
969,26,90,72,Tablet,Instagram,19,41,1
1514,5,40,357,Desktop,Instagram,3,49,0
462,16,74,49,Desktop,Facebook,14,19,0
3077,35,37,496,Mobile,Instagram,17,27,1
825,26,79,346,Tablet,Organic,4,3,1
668,18,82,190,Mobile,Facebook,10,6,1
3597,29,42,293,Desktop,Email,10,1,1
556,23,52,177,Tablet,Email,3,8,0
1225,14,14,452,Tablet,Instagram,15,22,1
3130,15,89,161,Desktop,Instagram,10,35,1
3593,33,55,150,Tablet,Email,0,11,0
26,25,55,70,Tablet,Instagram,12,22,0
3253,21,30,33,Mobile,Instagram,18,30,1
1253,17,82,284,Tablet,GoogleAds,5,41,1
2215,23,56,344,Mobile,Email,19,10,1
2534,17,50,260,Tablet,Email,18,0,1
1079,14,23,322,Mobile,Instagram,5,12,1
3454,29,57,77,Mobile,Organic,12,38,1
2575,20,72,110,Tablet,GoogleAds,10,28,1
2156,30,86,305,Mobile,Organic,18,5,1
1778,19,3,384,Desktop,Instagram,6,30,1
1070,39,9,139,Desktop,Email,11,8,1
2337,13,62,35,Tablet,Organic,15,17,1
3430,18,72,423,Tablet,Facebook,0,2,0
2554,23,82,394,Tablet,Organic,14,31,1
311,33,14,235,Desktop,Email,12,44,0
190,39,97,330,Tablet,Instagram,9,2,0
616,18,62,200,Tablet,Organic,17,44,1
3180,9,18,325,Mobile,Instagram,3,29,0
709,33,62,151,Tablet,GoogleAds,5,5,1
1002,32,55,34,Desktop,Facebook,7,49,1
1149,17,20,124,Desktop,Email,19,26,1
200,19,33,367,Tablet,Email,8,1,0
2310,27,16,32,Desktop,Instagram,7,19,1
990,6,17,272,Mobile,Facebook,17,16,1
2985,35,80,324,Mobile,Email,6,32,1
2016,37,65,310,Tablet,Organic,18,16,1
1194,34,50,124,Tablet,Email,17,36,1
3337,20,64,412,Mobile,Organic,0,28,0
3404,25,42,368,Mobile,Email,10,8,1
137,4,56,492,Tablet,Organic,8,3,0
2075,10,9,316,Desktop,GoogleAds,9,45,1
1826,10,36,78,Tablet,Instagram,9,39,1
1768,24,47,76,Tablet,GoogleAds,0,12,0
2623,21,68,60,Tablet,Organic,16,5,1
579,11,55,85,Tablet,Instagram,11,45,0
1356,27,75,368,Tablet,Facebook,11,8,1
1905,16,35,80,Tablet,Organic,18,25,1
2743,26,30,374,Tablet,Email,16,48,1
635,30,54,172,Desktop,Email,6,38,1
3369,16,37,258,Tablet,Facebook,10,40,1
2911,7,72,279,Mobile,GoogleAds,1,46,0
1696,16,89,221,Tablet,Organic,15,41,1
3019,35,14,46,Desktop,Email,8,13,1
164,16,15,491,Mobile,Instagram,9,47,0
2547,12,76,73,Tablet,Facebook,9,33,1
1419,35,88,54,Tablet,GoogleAds,2,3,0
794,21,93,327,Mobile,GoogleAds,16,20,1
3185,36,52,221,Tablet,Instagram,13,30,1
3474,17,55,492,Desktop,Instagram,18,46,1
255,32,6,381,Tablet,Facebook,17,42,0
3257,6,56,337,Desktop,Instagram,17,20,1
3120,24,54,9,Tablet,Email,13,42,1
1510,27,51,326,Mobile,GoogleAds,2,28,0
1715,20,3,172,Desktop,Instagram,9,23,1
2816,25,42,84,Tablet,Organic,12,44,1
547,2,39,330,Tablet,Instagram,11,15,0
1900,9,29,329,Mobile,GoogleAds,8,8,1
1851,28,9,12,Mobile,Email,9,20,1
930,38,93,481,Desktop,Instagram,18,1,1
2465,3,6,32,Desktop,Email,15,1,1
534,20,35,418,Desktop,Organic,2,36,0
2885,6,34,339,Tablet,GoogleAds,11,36,1
1539,39,87,289,Tablet,Facebook,7,4,1
2960,33,38,320,Desktop,GoogleAds,14,45,1
45,1,35,304,Tablet,Facebook,10,5,0
694,37,19,272,Mobile,Facebook,12,47,1
29,6,48,178,Tablet,GoogleAds,5,47,0
2378,34,95,114,Desktop,Facebook,12,7,1
2569,15,58,407,Tablet,Email,10,31,1
409,26,48,26,Mobile,Organic,5,36,0
2711,14,89,237,Desktop,Instagram,5,12,1
981,7,25,310,Desktop,Facebook,4,2,1
1916,31,35,172,Desktop,Facebook,6,8,1
2528,24,42,233,Desktop,GoogleAds,18,3,1
1176,31,98,37,Tablet,Email,10,27,1
1125,29,42,265,Mobile,Instagram,5,39,1
3435,32,98,478,Tablet,Facebook,8,15,1
843,17,75,13,Tablet,Email,19,10,1
1833,14,32,496,Desktop,Instagram,17,18,1
2784,36,99,316,Mobile,GoogleAds,7,41,1
1992,24,77,106,Tablet,Facebook,17,21,1
863,27,96,126,Mobile,GoogleAds,4,38,1
60,25,44,336,Mobile,GoogleAds,5,11,0
584,32,44,494,Mobile,Facebook,1,29,0
3271,18,87,384,Mobile,Email,3,39,0
1158,18,14,130,Tablet,Email,18,41,1
2207,37,94,479,Mobile,GoogleAds,3,4,0
2371,26,16,316,Tablet,GoogleAds,15,36,1
2627,9,11,256,Mobile,Organic,0,44,0
3423,35,21,441,Mobile,Instagram,15,31,1
2362,8,22,115,Tablet,GoogleAds,0,33,0
1725,20,89,299,Desktop,GoogleAds,16,11,1
691,22,77,403,Tablet,Instagram,4,42,1
847,19,11,124,Mobile,Facebook,15,1,1
1087,30,67,256,Tablet,Email,2,46,0
3060,28,50,139,Mobile,Facebook,9,6,1
2501,35,12,206,Tablet,Instagram,17,31,1
2670,11,56,47,Tablet,Instagram,17,39,1
3050,31,54,217,Tablet,Organic,16,34,1
2321,39,81,319,Desktop,Organic,10,48,1
3134,36,27,391,Tablet,Email,8,5,1
1605,30,43,463,Tablet,GoogleAds,10,21,1
3061,23,18,350,Desktop,Instagram,8,24,1
14,19,45,123,Desktop,Organic,16,46,0
1136,12,2,31,Mobile,Facebook,19,12,1
1229,15,82,472,Mobile,Organic,4,22,1
783,31,19,55,Tablet,Facebook,11,44,1
886,37,24,153,Mobile,Organic,17,43,1
1001,37,74,456,Tablet,Facebook,15,45,1
2941,15,55,286,Desktop,Organic,8,8,1
3431,29,80,36,Desktop,Organic,7,41,1
56,26,60,306,Tablet,Email,5,36,0
2924,2,54,398,Mobile,GoogleAds,16,36,1
2880,20,34,285,Mobile,Instagram,13,29,1
2993,15,77,411,Mobile,GoogleAds,13,19,1
2713,4,58,373,Tablet,Email,3,37,0
278,22,38,256,Mobile,Facebook,7,43,0
379,38,56,178,Desktop,GoogleAds,16,48,0
645,23,82,36,Desktop,Instagram,0,15,0
1139,26,66,254,Desktop,Instagram,2,49,0
1703,11,33,162,Desktop,Facebook,16,21,1
1692,28,40,21,Desktop,Instagram,19,37,1
666,2,21,294,Desktop,Email,2,9,0
129,8,26,75,Desktop,GoogleAds,6,19,0
840,29,20,481,Desktop,Instagram,10,40,1
1820,11,40,207,Desktop,GoogleAds,14,1,1
1091,37,30,460,Tablet,Organic,6,2,1
1984,18,26,472,Tablet,GoogleAds,4,41,1
1379,14,36,178,Desktop,Facebook,16,7,1
750,10,65,382,Desktop,Email,4,8,1
3555,35,53,37,Desktop,Instagram,0,27,0
126,9,8,459,Mobile,Email,6,20,0
1863,35,82,120,Tablet,GoogleAds,16,32,1
2848,11,41,403,Desktop,Instagram,7,33,1
1160,12,35,118,Tablet,Email,11,3,1
3474,3,9,1,Desktop,Facebook,1,47,0
1941,39,58,209,Mobile,Organic,16,24,1
1022,14,39,424,Desktop,Organic,19,31,1
1674,28,53,311,Tablet,Facebook,13,11,1
1091,11,38,208,Tablet,Organic,2,1,0
643,39,6,154,Tablet,Facebook,18,46,1
522,25,3,250,Tablet,GoogleAds,13,49,0
2859,21,14,171,Desktop,Facebook,7,47,1
1129,10,75,315,Mobile,Organic,6,11,1
