EmployeeID,Age,Gender,Department,JobRole,EducationLevel,MaritalStatus,YearsAtCompany,YearsInCurrentRole,MonthlyIncome,SalaryHikePercent,TrainingHoursLastYear,PerformanceRating,WorkLifeBalance,JobSatisfaction,EnvironmentSatisfaction,Overtime,RemoteWork,BusinessTravel,AbsentDaysLastYear,ProjectsHandled,ManagerFeedbackScore,PromotionLast3Years,EmployeeAttrition
EMP_113985,52,Male,Operations,Executive,PhD,Divorced,18,7,99883.45,5.58,15,3.56,1.96,3.74,3.04,No,No,Frequently,9,0,3.81,No,No
EMP_129892,29,Male,HR,Analyst,Bachelor,Single,10,11,91726.02,6.38,20,2.98,2.22,2.91,2.94,No,Yes,Non-Travel,4,0,3.8,Yes,No
EMP_117220,34,Female,Operations,Developer,PhD,Married,7,13,89685.71,12.16,20,3.48,3.35,1.35,2.65,No,No,Rarely,3,7,3.18,No,Yes
EMP_123189,43,Male,Operations,Manager,Master,Single,2,14,85359.18,11.09,10,3.22,2.58,1.85,2.04,No,No,Frequently,4,6,4.7,No,Yes
EMP_111334,57,Male,Operations,Administrator,Master,Married,14,3,112967.3,1.04,19,3.54,2.45,3.17,1.16,No,No,Rarely,5,5,4.47,Yes,Yes
EMP_113037,24,Male,Finance,Executive,Master,Married,19,5,102331.43,10.56,24,4.99,3.43,4.92,3.7,No,Yes,Rarely,11,0,4.4,No,Yes
EMP_114899,57,Male,HR,Analyst,Diploma,Divorced,24,9,99662.33,8.19,19,5.0,3.51,3.12,1.76,Yes,No,Rarely,5,7,4.2,No,Yes
EMP_127906,45,Male,Operations,Developer,PhD,Single,9,0,78239.21,6.15,24,3.37,1.65,3.73,3.49,No,Yes,Rarely,6,6,3.28,Yes,No
EMP_115314,57,Male,Finance,Executive,Diploma,Single,4,8,124336.77,21.28,14,3.3,4.13,2.78,3.5,Yes,No,Non-Travel,8,7,2.74,No,No
EMP_112601,43,Male,Engineering,Developer,MBA,Married,10,8,96272.78,13.79,26,3.23,3.33,1.55,4.99,No,No,Rarely,7,5,3.67,No,No
EMP_113206,26,Female,Engineering,Manager,Diploma,Single,6,11,57761.77,14.87,23,3.13,2.5,3.6,4.83,No,Yes,Rarely,9,3,3.61,No,No
EMP_100745,34,Male,Support,Consultant,Bachelor,Divorced,18,3,64491.18,10.75,15,4.07,3.58,3.7,3.21,Yes,No,Non-Travel,7,5,3.21,No,Yes
EMP_128008,40,Male,HR,Administrator,PhD,Married,13,10,324060.64,10.52,24,4.52,3.89,2.85,4.07,Yes,No,Non-Travel,7,2,3.21,No,No
EMP_100665,35,Female,HR,Team Lead,Diploma,Married,7,10,87530.74,20.15,24,2.86,2.91,3.34,3.08,No,No,Non-Travel,7,2,2.78,No,No
EMP_115729,30,Female,Finance,Manager,PhD,Married,17,14,102374.56,10.8,23,3.68,1.77,2.48,2.78,No,No,Rarely,4,4,4.86,No,Yes
EMP_121460,48,Female,Marketing,Manager,Diploma,Single,24,3,86947.03,20.15,20,2.89,1.7,3.79,5.0,No,No,Frequently,5,4,3.31,No,Yes
EMP_122575,30,Female,Marketing,Executive,Master,Single,14,3,133708.55,16.04,14,2.61,2.2,4.44,2.84,Yes,No,Rarely,6,5,3.88,No,No
EMP_106958,51,Female,Marketing,Analyst,Bachelor,Married,18,4,73048.68,7.96,14,1.94,1.38,4.92,2.07,No,No,Rarely,4,7,4.4,No,Yes
EMP_103446,41,Male,Marketing,Manager,Diploma,Single,18,12,101432.46,15.63,19,3.13,2.68,4.81,3.49,No,No,Non-Travel,10,6,4.69,No,No
EMP_113218,27,Female,Sales,Administrator,Bachelor,Married,9,0,96615.19,11.38,17,2.52,4.16,5.0,4.23,No,No,Non-Travel,7,5,3.85,No,No
EMP_115074,59,Female,Sales,Consultant,PhD,Single,22,2,88644.24,2.79,12,3.33,,2.62,3.29,No,No,Rarely,6,6,4.79,No,No
EMP_103727,59,Female,Support,Team Lead,Bachelor,Divorced,16,8,69321.88,19.01,19,3.5,3.69,3.14,3.2,No,Yes,Non-Travel,4,2,4.2,No,No
EMP_110172,51,Female,Support,Analyst,Master,Single,4,7,101638.43,12.3,17,3.37,2.04,3.62,2.23,No,No,Non-Travel,9,6,3.57,No,No
EMP_102533,24,Female,Sales,Analyst,Bachelor,Married,4,6,87365.4,7.89,20,3.53,3.48,1.89,2.22,No,Yes,Rarely,9,5,3.48,No,Yes
EMP_120180,40,Male,Finance,Executive,Bachelor,Married,24,11,102649.15,18.79,23,3.82,2.5,4.27,3.7,No,Yes,Frequently,7,6,3.27,No,No
EMP_121828,44,Male,HR,Consultant,PhD,Divorced,16,12,51585.79,16.14,17,3.17,3.69,4.23,4.81,No,No,frequently,3,3,3.91,No,No
EMP_100276,50,Female,Operations,Administrator,MBA,Single,6,8,77349.24,11.74,18,3.85,4.44,2.94,3.4,No,Yes,Frequently,6,4,3.26,No,Yes
EMP_100924,42,Male,Operations,Team Lead,Master,Divorced,9,11,33474.05,17.7,22,3.52,1.0,4.65,3.56,Yes,Yes,Rarely,7,6,4.99,No,No
EMP_111041,55,Female,Engineering,Executive,MBA,Single,6,2,112603.29,19.27,14,4.21,4.01,4.04,3.36,No,Yes,Frequently,12,7,4.58,No,Yes
EMP_126236,30,Male,Finance,Analyst,MBA,Married,17,8,23368.94,19.68,20,2.58,3.2,2.34,2.83,Yes,No,Rarely,3,5,3.75,No,Yes
EMP_110684,50,Female,Operations,Executive,PhD,Divorced,21,3,129185.33,16.79,25,4.4,1.08,,2.11,No,No,Non-Travel,5,3,4.58,Yes,No
EMP_123959,49,Male,Sales,Manager,Diploma,Divorced,3,1,55345.28,2.7,19,4.94,4.23,2.4,2.47,No,No,Rarely,2,5,3.26,No,No
EMP_105378,48,Male,Support,Administrator,MBA,Married,24,2,44487.96,24.31,18,4.26,1.08,3.18,5.0,No,No,Frequently,7,2,3.25,No,Yes
EMP_110071,46,Female,Operations,Team Lead,Bachelor,Single,10,2,78441.84,11.99,13,4.15,4.06,4.59,4.82,Yes,No,Rarely,5,7,3.45,Yes,No
EMP_126716,44,Female,Sales,Analyst,MBA,Married,0,9,58034.51,11.46,22,3.71,3.49,2.6,3.73,Yes,No,Non-Travel,6,5,1.05,No,Yes
EMP_114515,45,Male,Engineering,Manager,MBA,Divorced,12,13,130107.52,12.96,18,3.49,2.2,2.73,1.72,No,Yes,Rarely,14,3,3.55,Yes,No
EMP_128429,37,Female,Sales,Executive,Master,Single,1,8,62987.25,13.51,22,2.72,3.16,3.82,3.71,Yes,No,Rarely,9,5,3.62,Yes,No
EMP_107513,48,Male,HR,Manager,Bachelor,Single,6,5,58788.42,13.53,23,3.45,4.82,4.52,4.8,No,No,Rarely,2,8,3.77,No,No
EMP_117724,54,Female,Sales,Administrator,PhD,Single,21,8,111247.72,10.05,18,3.19,3.22,5.0,4.92,Yes,Yes,Non-Travel,8,3,3.62,No,Yes
EMP_112462,40,Male,Support,Team Lead,MBA,Divorced,11,2,80076.83,9.86,14,1.4,3.74,4.26,5.0,No,Yes,Rarely,6,3,4.86,No,No
EMP_120105,31,Male,Finance,Consultant,Diploma,Single,20,3,90877.48,11.22,24,3.39,3.92,3.68,3.88,Yes,Yes,Non-Travel,5,4,3.4,No,Yes
EMP_104826,45,Male,Sales,Administrator,PhD,Divorced,14,10,15000.0,11.74,29,5.0,1.05,3.67,3.9,Yes,No,Frequently,2,5,2.3,No,Yes
EMP_118252,27,Female,Engineering,Administrator,Master,Divorced,17,5,151098.11,20.93,20,4.57,4.43,3.19,4.86,No,Yes,Rarely,11,7,3.91,No,Yes
EMP_124195,48,Female,Finance,Consultant,Master,Single,5,4,97011.43,19.23,13,2.67,3.99,3.13,2.59,Yes,No,Frequently,5,4,3.4,No,Yes
EMP_100754,27,Female,HR,Consultant,MBA,Married,15,2,71038.17,7.44,14,4.65,1.57,2.09,2.93,No,Yes,Frequently,6,6,3.82,Yes,No
EMP_122027,44,Male,Finance,Executive,Master,Married,13,5,83218.21,13.12,18,3.83,1.0,3.95,3.8,No,No,Non-Travel,10,7,,No,No
EMP_129641,36,Female,Sales,Team Lead,MBA,Single,23,2,142322.75,16.42,23,4.97,3.55,3.17,2.5,Yes,No,Frequently,5,6,3.85,Yes,Yes
EMP_102143,57,Female,Engineering,Consultant,MBA,Married,11,8,38497.06,22.31,20,1.53,3.49,4.18,4.54,No,No,Rarely,9,3,3.26,No,Yes
EMP_113046,59,Female,Finance,Manager,Diploma,Married,0,9,44850.47,16.56,24,2.71,3.58,1.03,3.56,Yes,Yes,Frequently,8,7,3.06,No,Yes
EMP_119965,40,Female,Sales,Developer,Master,Married,2,0,47803.33,0.69,17,2.65,2.96,2.45,2.41,No,No,Rarely,7,4,1.31,No,No
EMP_125284,25,Female,Operations,Developer,Master,Single,2,10,112230.28,8.36,20,3.96,4.66,5.0,3.4,No,Yes,Frequently,8,3,3.88,No,No
EMP_128303,28,Female,HR,Manager,Master,Divorced,8,1,67635.82,19.15,19,2.69,2.56,1.97,2.83,Yes,No,Frequently,4,4,2.12,Yes,Yes
EMP_125625,54,Male,Marketing,Team Lead,PhD,Married,17,1,75536.28,11.99,20,3.51,2.89,4.33,3.52,No,No,Frequently,7,1,3.16,No,No
EMP_108632,53,Male,Finance,Manager,MBA,Married,15,6,88241.14,23.62,14,3.21,2.09,1.96,4.3,No,No,Non-Travel,6,3,2.92,No,Yes
EMP_111546,30,Male,Support,Team Lead,PhD,Married,13,2,44652.42,5.85,22,3.92,2.99,1.15,3.07,Yes,No,Frequently,8,4,2.09,Yes,Yes
EMP_124654,25,Female,Support,Executive,Bachelor,Divorced,13,3,102430.12,14.11,22,3.03,1.9,3.72,2.54,No,No,Frequently,5,3,4.01,No,No
EMP_106765,22,Male,Operations,Executive,Master,Single,24,1,112636.62,26.48,21,2.75,3.35,3.54,4.14,No,No,Frequently,8,7,2.97,No,Yes
EMP_113243,38,Female,Marketing,Team Lead,Master,Single,14,2,34060.53,1.82,27,4.59,3.46,3.17,3.08,Yes,Yes,Non-Travel,8,2,3.01,No,Yes
EMP_119953,50,Female,Support,Administrator,Bachelor,Divorced,0,13,87537.47,3.42,16,2.8,2.59,3.02,2.35,No,No,Rarely,2,4,2.26,No,No
EMP_119160,28,Female,HR,Manager,Diploma,Married,0,0,74817.77,14.71,21,5.0,3.54,4.36,4.26,No,No,Rarely,9,6,4.05,Yes,Yes
EMP_116562,38,Female,Sales,Developer,Bachelor,Single,16,12,59031.03,23.52,23,2.94,3.4,3.18,3.1,No,Yes,Rarely,5,5,2.84,No,No
EMP_106222,57,Male,Support,Executive,PhD,Married,1,0,48331.53,0.0,29,2.97,5.0,1.67,4.34,Yes,Yes,Rarely,5,5,,No,Yes
EMP_116614,44,Male,Operations,Executive,MBA,Single,11,14,74385.74,25.42,16,1.49,2.6,3.55,2.02,No,No,Rarely,4,4,2.9,Yes,No
EMP_108841,47,Male,Engineering,Administrator,Diploma,Married,18,0,51760.58,12.64,20,2.37,2.25,3.18,3.2,Yes,No,Rarely,3,7,4.82,No,No
EMP_125606,32,Male,HR,Analyst,Master,Divorced,17,10,80512.09,6.72,21,3.02,4.82,4.32,2.47,No,No,Frequently,10,6,4.05,No,Yes
EMP_101446,56,Male,Support,Developer,Master,Single,14,2,103292.05,16.79,23,4.74,2.02,5.0,2.63,Yes,Yes,Rarely,4,3,5.0,No,No
EMP_114836,21,Male,Operations,Manager,Master,Single,23,12,93679.32,11.89,14,3.75,3.52,1.18,3.66,Yes,Yes,Frequently,4,5,2.8,No,Yes
EMP_126702,50,Male,HR,Analyst,MBA,Married,13,14,73538.08,12.74,16,4.5,2.97,2.41,2.24,Yes,No,Rarely,9,4,2.77,No,No
EMP_119151,39,Male,Marketing,Executive,PhD,Single,0,13,48290.69,13.78,18,4.04,3.61,2.54,3.94,No,No,Non-Travel,9,6,4.57,No,No
EMP_103386,33,Female,Support,Analyst,Bachelor,Divorced,18,5,104458.11,8.94,22,4.29,4.53,2.11,3.72,No,No,Frequently,7,3,4.04,No,Yes
EMP_121654,27,Male,Marketing,Team Lead,MBA,Married,23,5,120932.63,15.96,15,3.76,4.78,2.71,3.05,No,No,Rarely,3,2,2.37,Yes,No
EMP_123787,34,Female,Engineering,Team Lead,Diploma,Married,0,4,15000.0,8.62,22,3.11,1.13,1.25,3.06,No,No,Rarely,7,7,3.09,No,Yes
EMP_106471,32,Male,Marketing,Team Lead,Bachelor,Divorced,18,7,97294.13,4.64,19,3.18,,2.75,4.9,No,Yes,Frequently,7,3,3.4,No,Yes
EMP_101945,59,Male,Sales,Developer,Diploma,Divorced,15,0,,15.47,24,2.27,2.01,2.45,2.63,No,Yes,Rarely,5,0,2.68,No,Yes
EMP_113440,24,Male,Operations,Administrator,Bachelor,Divorced,10,8,70192.25,14.1,24,3.23,2.36,3.8,2.97,No,Yes,Rarely,6,5,2.92,No,Yes
EMP_111558,26,Female,Finance,Analyst,PhD,Divorced,17,14,17374.13,11.37,23,1.86,3.88,2.97,2.98,No,No,Frequently,5,7,1.91,No,No
EMP_127366,25,Male,Engineering,Manager,Bachelor,Divorced,14,3,87781.81,14.64,29,3.3,2.29,4.26,3.33,Yes,No,Frequently,7,4,1.55,No,Yes
EMP_124122,22,Male,Sales,Consultant,Bachelor,Married,10,13,,17.28,20,2.74,3.11,2.33,3.46,No,No,Non-Travel,5,7,4.56,Yes,Yes
EMP_105464,36,Male,Engineering,Analyst,Diploma,Divorced,2,14,37393.13,2.81,20,3.55,,2.44,3.57,No,No,frequently,6,5,1.98,Yes,Yes
EMP_115354,49,Female,Engineering,Manager,Bachelor,Divorced,3,5,85757.86,17.2,20,3.46,1.06,3.16,3.61,Yes,No,Rarely,7,6,2.92,No,Yes
EMP_100796,50,Male,HR,Administrator,Master,Single,6,7,15000.0,6.59,26,3.42,3.34,2.83,2.24,No,Yes,Rarely,5,4,2.72,No,No
EMP_118776,49,Female,Finance,Analyst,Diploma,Single,15,6,84482.48,18.11,25,3.09,2.89,2.19,2.56,Yes,No,Rarely,5,2,3.9,Yes,Yes
EMP_106032,33,Female,Engineering,Developer,MBA,Single,14,11,131541.4,17.96,18,3.48,,5.0,3.23,Yes,No,Frequently,7,4,3.38,No,Yes
EMP_108899,45,Male,Engineering,Analyst,Bachelor,Single,0,13,53585.9,13.91,24,1.73,2.57,5.0,3.47,No,No,Frequently,2,9,3.19,No,No
EMP_116816,22,Male,HR,Executive,Master,Divorced,7,8,82932.92,17.67,20,3.65,4.26,2.39,4.37,No,No,Non-Travel,2,6,3.24,Yes,No
EMP_129927,49,Male,Operations,Manager,PhD,Married,0,5,70073.93,22.62,17,2.34,3.33,1.55,4.08,Yes,No,Frequently,5,6,3.16,Yes,No
EMP_120929,52,Female,Finance,Analyst,PhD,Single,17,13,75716.79,12.69,25,3.32,2.42,3.0,2.15,Yes,Yes,Rarely,7,5,4.9,No,No
EMP_122923,50,Female,Engineering,Manager,Bachelor,Divorced,13,13,96602.26,13.33,28,3.82,4.03,3.15,4.16,No,Yes,Non-Travel,3,4,3.02,No,Yes
EMP_104305,44,Male,Finance,Administrator,MBA,Single,1,5,42994.71,12.61,18,3.6,3.67,2.36,2.72,Yes,Yes,Non-Travel,3,5,,No,No
EMP_112553,58,Female,Sales,Consultant,MBA,Married,2,0,84691.82,6.25,20,4.93,2.72,3.59,1.75,No,No,Frequently,4,3,1.59,No,No
EMP_113563,52,Female,Operations,Analyst,MBA,Single,5,11,,15.7,13,3.7,3.49,3.22,2.36,No,No,Rarely,9,3,2.92,No,No
EMP_107709,31,Female,engineering,Analyst,PhD,Divorced,3,3,53543.34,0.71,24,2.82,4.28,3.85,5.0,Yes,Yes,Frequently,10,3,4.14,No,Yes
EMP_101148,51,Male,Finance,Manager,Master,Married,17,11,61274.5,15.9,33,3.31,2.41,2.85,3.62,No,No,Non-Travel,1,6,2.64,No,Yes
EMP_113061,35,Female,Sales,Administrator,PhD,Divorced,20,8,73203.34,21.28,30,3.46,3.01,5.0,5.0,No,No,Rarely,12,4,2.61,Yes,No
EMP_110383,26,Male,HR,Team Lead,PhD,Divorced,21,1,48516.68,9.23,19,2.32,3.18,2.31,2.44,Yes,No,frequently,7,4,2.79,No,Yes
EMP_105306,34,Female,Operations,Administrator,Bachelor,Divorced,0,4,122953.05,15.08,36,4.14,3.68,2.97,1.91,No,No,Rarely,1,3,3.84,Yes,No
EMP_104833,38,Male,Finance,Analyst,PhD,Single,19,13,71461.24,15.09,22,3.72,2.32,4.99,3.54,No,No,Non-Travel,6,4,,No,Yes
EMP_128756,51,Male,Engineering,Consultant,MBA,Single,23,2,47162.15,7.67,23,3.55,2.17,3.69,4.74,No,Yes,Non-Travel,6,5,5.0,No,No
EMP_115583,32,Male,Finance,Analyst,Diploma,Married,9,2,64859.26,13.35,21,2.41,3.56,2.65,3.66,No,Yes,Rarely,2,8,3.61,No,No
EMP_109542,55,Female,Operations,Executive,Bachelor,Divorced,0,9,71645.64,10.14,20,4.11,1.0,3.49,3.92,Yes,No,Non-Travel,7,4,3.92,No,Yes
EMP_118452,54,Male,Sales,Administrator,PhD,Single,5,3,89436.44,9.12,23,3.63,3.03,2.31,2.94,Yes,No,Frequently,7,1,3.28,No,Yes
EMP_104513,34,Male,Operations,Manager,Diploma,Married,18,1,76166.75,13.68,22,4.46,4.11,4.21,2.98,No,No,Rarely,7,3,4.09,No,Yes
EMP_114864,33,Female,HR,Consultant,Master,Married,11,12,99474.94,10.57,18,2.92,4.96,1.77,3.53,No,No,Frequently,6,6,4.88,No,Yes
EMP_124598,24,Male,Operations,Analyst,MBA,Divorced,4,4,47678.71,5.29,23,3.61,2.37,2.88,2.75,No,No,Frequently,8,10,3.72,No,Yes
EMP_103683,24,Male,Engineering,Manager,Bachelor,Single,5,13,43256.19,11.5,17,4.74,2.95,3.27,2.68,No,No,Frequently,3,2,4.91,Yes,No
EMP_129778,31,Female,HR,Team Lead,MBA,Divorced,24,3,115709.43,9.53,18,2.14,3.24,4.34,2.55,No,Yes,Frequently,13,2,1.99,No,No
EMP_109113,53,Male,Marketing,Team Lead,MBA,Married,18,2,70469.2,7.3,14,3.27,4.38,5.0,3.43,No,No,Rarely,4,4,2.37,No,No
EMP_120289,53,Male,Engineering,Administrator,PhD,Married,23,8,68915.38,6.0,19,3.12,3.82,3.76,2.06,No,Yes,Rarely,8,2,3.78,No,Yes
EMP_120264,56,Female,Marketing,Manager,MBA,Single,2,13,64353.94,12.27,26,3.05,1.0,1.4,4.7,No,Yes,Non-Travel,2,7,2.57,Yes,No
EMP_115090,31,Male,Marketing,Executive,Master,Single,23,13,104115.95,8.76,18,3.82,2.12,1.56,1.5,No,No,Frequently,5,10,3.85,No,Yes
EMP_125613,26,Male,Finance,Manager,Diploma,Married,14,13,110770.32,14.13,15,3.5,4.31,2.03,4.07,No,Yes,Rarely,5,5,3.77,No,Yes
EMP_129563,29,Male,HR,Manager,Diploma,Divorced,16,4,82164.9,14.41,26,2.12,1.42,2.42,2.42,Yes,Yes,Rarely,7,2,4.41,No,No
EMP_124065,43,Male,Marketing,Developer,Bachelor,Divorced,1,4,69316.86,8.33,15,3.85,3.46,3.33,2.71,No,No,Non-Travel,5,8,4.04,No,No
EMP_116848,41,Male,Engineering,Team Lead,Bachelor,Married,21,3,69414.42,9.74,23,3.25,1.64,3.97,3.62,No,Yes,Frequently,11,7,3.17,Yes,No
EMP_125470,40,Male,Marketing,Administrator,PhD,Divorced,4,9,43042.4,4.65,19,3.69,2.06,4.04,3.24,No,Yes,Non-Travel,4,4,3.24,No,No
EMP_100631,51,Male,Marketing,Team Lead,PhD,Single,5,14,58154.97,9.92,25,3.6,4.46,3.61,1.19,No,Yes,Rarely,6,5,4.21,No,No
EMP_110133,23,Female,Finance,Manager,PhD,Single,13,4,72414.28,6.53,20,3.19,2.69,4.06,2.1,No,Yes,Rarely,6,2,2.43,No,No
EMP_103604,29,Male,Marketing,Developer,PhD,Single,13,5,61020.99,7.03,22,2.96,1.39,2.49,2.24,Yes,No,Rarely,5,4,2.56,No,Yes
EMP_111975,49,Male,Marketing,Administrator,PhD,Single,17,12,58681.9,8.6,15,3.28,2.08,5.0,1.73,Yes,Yes,Rarely,8,7,,No,Yes
EMP_122463,40,Male,Finance,Analyst,Bachelor,Divorced,23,6,76920.14,15.03,18,3.66,3.02,2.38,3.53,No,No,Non-Travel,5,4,2.24,No,No
EMP_103012,31,Female,Marketing,Developer,Bachelor,Divorced,18,5,87085.74,7.49,34,3.88,2.71,1.67,2.69,Yes,No,Non-Travel,4,7,3.51,No,Yes
EMP_123212,56,Female,Engineering,Consultant,Bachelor,Divorced,9,0,85685.35,21.99,19,1.62,1.06,2.44,3.71,Yes,No,Frequently,7,6,3.7,No,Yes
EMP_128566,50,Female,Sales,Developer,Diploma,Divorced,13,3,123479.36,17.74,17,2.08,3.56,3.48,2.02,No,No,Rarely,6,6,3.94,No,No
EMP_103864,48,Female,Sales,Team Lead,Bachelor,Divorced,19,5,134209.76,6.84,23,1.68,2.71,3.76,4.05,No,No,Rarely,1,3,,No,Yes
EMP_109637,41,Male,Operations,Consultant,MBA,Divorced,13,13,101297.3,9.74,14,4.64,3.9,1.79,4.14,No,No,Non-Travel,6,4,4.23,No,Yes
EMP_107072,38,Male,Support,Team Lead,Bachelor,Divorced,21,5,97103.05,6.37,18,3.74,3.57,2.43,2.62,No,No,Frequently,6,4,5.0,No,No
EMP_108051,58,Male,engineering,Manager,MBA,Single,4,2,160554.01,14.1,23,4.08,2.89,1.98,1.89,Yes,No,Frequently,3,6,3.66,No,Yes
EMP_107142,26,Male,Finance,Executive,Master,Divorced,8,10,99847.85,4.16,19,2.86,3.61,3.93,4.6,Yes,No,Rarely,5,5,3.86,No,Yes
EMP_106391,48,Male,Engineering,Developer,PhD,Single,5,2,43091.47,10.53,30,2.34,3.1,2.6,2.21,Yes,No,Frequently,2,3,5.0,No,No
EMP_109256,29,Male,Support,Manager,Bachelor,Divorced,13,2,75496.87,18.37,14,3.46,3.82,2.35,4.01,Yes,Yes,Frequently,1,8,4.47,No,Yes
EMP_113378,52,Female,Sales,Consultant,PhD,Divorced,16,11,381153.6,15.55,17,2.58,2.95,1.33,4.91,No,No,Frequently,3,4,4.96,Yes,No
EMP_124606,32,Male,Support,Developer,Master,Single,10,7,15000.0,4.6,21,3.42,1.78,3.52,3.07,No,No,Rarely,7,4,3.43,No,No
EMP_125331,42,Female,Sales,Consultant,MBA,Single,5,9,107602.89,18.92,19,3.2,1.77,2.85,3.65,Yes,Yes,Frequently,4,4,4.16,No,Yes
EMP_112064,33,Male,Operations,Consultant,PhD,Divorced,18,9,83750.94,8.32,12,3.24,1.0,4.7,3.32,Yes,Yes,Non-Travel,5,2,3.37,No,Yes
EMP_118135,49,Female,Engineering,Analyst,PhD,Married,21,0,123233.21,15.9,23,3.5,4.15,1.01,3.34,No,Yes,Frequently,3,7,3.44,Yes,Yes
EMP_104664,52,Male,Sales,Developer,Master,Divorced,7,14,97160.54,5.59,20,4.09,2.38,2.46,3.32,Yes,Yes,Non-Travel,9,2,3.81,No,Yes
EMP_119205,56,Male,Sales,Team Lead,Bachelor,Divorced,18,10,90908.93,8.17,21,4.29,2.07,3.93,3.76,No,No,Rarely,6,6,4.35,No,Yes
