customer_age,gender,city,customer_tenure_months,customer_segment,plan_type,contract_type,number_of_services,monthly_data_usage_gb,monthly_voice_minutes,monthly_sms_count,international_usage_flag,network_drop_rate,average_download_speed,service_outages_last_6m,support_tickets_last_12m,avg_resolution_time_hours,complaints_last_12m,mobile_app_logins_last_30d,reward_points_balance,campaign_response_rate,late_payments_last_12m,autopay_enabled,billing_disputes_last_12m,customer_lifetime_value,monthly_revenue,retention_offer_count,service_region_cluster,churn_flag
74,Male,Hyderabad,114,Family,Postpaid,2 Year,3,73.88840089829029,799.2063306836782,79,0,4.618853243208284,68.69862303986423,2,1,21.518938177524323,1,25,13576,85.68775808361761,2,1,0,43769.917285987394,1122.6188544089307,2,8,0
58,Female,Pune,5,Business,Enterprise,1 Year,4,35.07399545525353,648.5159785779599,84,0,6.8164966422084685,40.73626554620104,2,4,46.38309675195036,1,12,30191,27.671086330218465,0,1,0,48605.041518189406,1328.1206157992035,1,19,1
50,Female,Mumbai,94,Business,Prepaid,Month-to-Month,4,28.340949638587936,967.237626238808,78,0,5.362848596882712,59.831953541471805,2,3,14.3050484955452,1,14,40311,63.871130039408186,1,1,0,39761.2245523352,199.0,0,38,1
53,Female,Hyderabad,114,Business,Prepaid,1 Year,4,27.70807185155031,579.7324955588471,90,0,5.079760684861449,52.24522355303269,2,0,28.91003407305248,1,14,19990,41.36664285563639,1,1,0,61253.819274966736,1669.6070678247493,2,30,0
56,Male,Chennai,74,Premium,Unlimited,Month-to-Month,2,32.58255913573927,343.5165776706565,89,0,3.019098897724708,77.2035876799532,2,4,10.502026488725996,2,13,13857,5.457329180742921,1,0,0,62890.10491971781,473.61505458084616,0,25,0
68,Female,Hyderabad,38,Consumer,Unlimited,2 Year,5,23.092468890160184,661.8257741621139,92,0,0.4104206949541344,92.3830884823986,2,3,12.288604772289254,1,11,11906,20.54855722795518,1,1,0,43887.761165170654,1638.958756703801,3,1,0
53,Female,Delhi,75,Business,Unlimited,Month-to-Month,2,12.803258731825636,1161.7029618332615,79,0,6.862847385530289,82.61893678074642,3,1,14.557337645123212,1,19,6387,33.1247480109088,1,1,0,56712.845674859695,311.49298137110884,3,46,0
36,Female,Hyderabad,44,Family,Enterprise,Month-to-Month,1,52.25355076207433,1098.846824290326,87,1,9.04769216632513,82.04232448882942,0,1,15.961667520442546,1,11,4314,0.232727125092591,0,0,0,50880.28272371219,1923.9497374896252,0,24,0
59,Male,Kolkata,76,Business,Unlimited,Month-to-Month,2,19.048303409108293,491.03908833128094,92,0,3.989817899574276,,4,1,24.782214715440723,0,15,12616,80.30271700368246,1,0,1,39345.29222189028,1210.286656562296,0,24,1
41,Male,Hyderabad,36,Premium,Postpaid,2 Year,4,38.22493935389125,612.3609519164738,67,0,2.727027786748575,67.73146689247353,4,1,32.13336114628924,1,15,15161,46.83968232101289,1,0,1,47436.57443047387,906.68982358304,0,10,0
28,Male,Chennai,57,Premium,Enterprise,1 Year,3,36.884203833005394,921.8932252899244,76,1,4.059450943909725,87.17188793639072,4,2,40.69384577381254,0,20,7881,96.84052855851432,0,0,0,41807.56811074933,1079.406116127336,3,2,0
74,Male,Kolkata,68,Family,Prepaid,2 Year,2,13.40251362894671,894.0224361574205,90,0,9.13473602864928,134.00183199319218,4,1,11.360043608360463,0,22,42892,64.13541023052647,1,1,1,32523.04041677487,1419.7228751770615,2,15,0
40,Male,Mumbai,113,Family,Prepaid,2 Year,5,25.583054802901767,975.757923299194,79,0,3.048123302916881,101.77834010711145,2,3,15.843899354952296,1,10,33043,49.21213323874978,0,0,1,57212.462807923,1714.2889448120568,3,34,0
35,Male,Chennai,82,Premium,Enterprise,Month-to-Month,3,7.566556697403159,499.5580191924327,96,0,4.25277534916559,,2,1,38.94474152632557,2,9,7756,57.657841220279,1,0,0,22018.82872436979,1727.4424679009398,0,9,0
71,Male,Mumbai,57,Premium,Enterprise,1 Year,3,33.531144143588534,542.1675281885797,85,0,4.628481162041256,66.67342690067966,2,3,29.428051810951445,2,14,11677,67.3683327160768,1,1,0,32809.11378061734,1507.180260847815,0,12,0
37,Female,Hyderabad,79,Consumer,Prepaid,1 Year,4,30.286533482844693,778.5871658379399,64,0,0.2749077468512517,73.75108373747126,2,1,30.861714707402,0,20,21377,0.1656210508301447,3,1,1,31165.567338188997,1183.4729007018557,1,32,0
65,Female,Bangalore,49,Family,Enterprise,Month-to-Month,2,16.099347341274772,250.4610746441985,103,0,6.088215776841467,59.87870891323371,4,2,5.670790958524498,1,20,29009,,2,1,0,60964.78038206873,1296.5292287177506,0,26,1
44,Female,Mumbai,63,Business,Postpaid,Month-to-Month,2,33.290997979492666,766.1108292589196,80,1,5.034829648531733,82.0699559425164,1,0,5.611161972925013,3,16,8730,94.99071974179849,0,1,0,58471.74817227878,559.469631337114,0,44,0
21,Female,Chennai,116,Consumer,Enterprise,1 Year,4,35.63820906856711,761.5709074004064,70,0,9.263136476716497,81.69351151365862,3,0,22.873032239883884,1,17,20669,26.72270373371564,1,1,0,51395.59186104313,1099.8195690083303,1,11,0
27,Male,Kolkata,44,Premium,Enterprise,1 Year,1,45.30626593150958,430.7357277731192,101,0,2.771167462254496,91.28468384183604,1,1,41.50601940298606,0,11,46858,97.7772987540766,1,1,0,49313.84226224676,792.1959745979011,1,4,0
22,Male,Bangalore,108,Premium,Enterprise,2 Year,4,12.25516365015649,416.1243804172635,78,0,1.0388492790205062,61.199080616842494,2,2,17.526302191082387,2,12,39078,12.214713567162072,0,1,0,54856.90960052106,1220.794246397293,2,24,0
55,Male,Pune,75,Family,Postpaid,2 Year,2,57.302092013133496,692.8811544598962,63,1,7.011518733868041,55.49416618872448,2,0,12.207736890947146,0,20,36739,31.184823783626847,0,1,1,57768.35158866968,804.2411511070836,1,2,0
27,Female,Bangalore,1,Premium,Enterprise,1 Year,5,48.400991559013306,307.88096110350574,84,1,9.02316913205853,94.63301656132522,4,1,12.748864870486718,0,16,35801,46.75286345878786,0,0,0,50455.89844767298,795.5196444760954,0,29,1
34,Male,Chennai,115,Consumer,Unlimited,Month-to-Month,5,36.93592822321718,896.9926526517736,76,0,0.2444917886862674,48.56510711346672,0,4,15.859661880697,2,9,36870,26.087342397456403,1,0,0,62705.50724509454,766.1331526126162,2,9,0
18,Male,Delhi,106,Family,Unlimited,1 Year,2,31.983691603463807,816.62742166578,100,0,5.667160081815599,87.32070121849068,4,2,13.495921278367785,0,19,39250,,1,1,0,37560.54596877114,1317.3041546836196,1,28,1
41,Male,Pune,108,Family,Prepaid,2 Year,2,63.77966494605193,843.7121516420821,80,0,1.820277105268655,54.9250074221745,0,3,15.646835555555567,1,15,43827,36.89674012659477,1,1,1,56170.86606605564,946.7349510851824,1,39,0
77,Female,Hyderabad,67,Family,Prepaid,1 Year,5,33.57542317852488,580.702367580271,90,0,6.864204501092032,98.61085584033448,3,1,11.99865813787018,0,11,18373,40.990215940300814,3,1,2,27368.27707765795,717.4727517525787,2,36,0
75,Female,Chennai,88,Family,Unlimited,Month-to-Month,5,33.12751781085798,688.4574475944875,80,0,6.870334236784098,102.82577739032256,1,0,23.560672936245208,2,15,5432,64.963241051953,0,1,0,49643.032189552505,1062.4076186289576,2,2,1
38,Male,Pune,47,Family,Enterprise,2 Year,2,28.73017455247959,1044.377473918305,71,0,9.702559641908788,37.5704909296279,2,1,27.04596902182847,1,14,21297,93.7256396660592,1,1,1,38851.270824324296,908.8278909095689,4,34,0
32,Male,Kolkata,71,Premium,Postpaid,Month-to-Month,3,56.47365301505696,524.0995632112562,84,1,0.0702494335633852,,1,3,6.956488421812741,0,13,33571,0.995711446250247,0,1,2,50767.019234677166,1398.6721712912845,0,19,0
63,Male,Hyderabad,59,Family,Enterprise,Month-to-Month,3,23.865507194693965,478.6392151668808,77,0,2.503337078558403,122.01570271229122,2,2,23.02432458571406,0,20,20326,1.558200293693801,1,1,0,47125.12408824731,1179.8631985415377,2,47,0
53,Male,Pune,81,Consumer,Postpaid,2 Year,5,16.256333572972466,937.7676394011636,86,0,0.7694433661938915,103.91638965228611,1,4,15.778858044840447,0,20,46587,62.97037338504962,1,0,2,45740.57033832942,399.6139013384334,0,29,0
29,Female,Bangalore,94,Business,Enterprise,1 Year,1,41.62365659137437,881.1269237231467,93,0,2.288810648648893,79.61625545222118,3,0,17.66737039086584,1,10,26810,83.68144963934753,1,0,1,45354.876186384216,1061.7994397276805,1,20,0
56,Female,Kolkata,90,Family,Postpaid,Month-to-Month,1,34.24582103566799,367.00052978457006,96,0,7.300427285775306,30.08949526695455,6,1,8.105002816567207,1,20,6465,52.00604149869231,2,1,0,72957.01179104797,1735.019589988663,1,7,1
18,Male,Mumbai,117,Family,Postpaid,2 Year,5,28.29016151894668,719.8003138069677,81,0,3.4189846660341217,101.56869609190984,0,3,46.90792229854001,0,15,7407,60.31435850763233,1,0,0,31436.645706931784,394.99287509030125,1,33,0
67,Female,Kolkata,24,Business,Prepaid,2 Year,4,78.85171815285399,954.614526225076,73,0,5.129730058026168,108.26079616543996,4,3,23.53331354388879,0,19,42495,96.33014415235506,1,1,0,44304.08089816314,425.0625754344664,1,40,0
24,Female,Bangalore,37,Consumer,Enterprise,2 Year,3,45.25456491937976,589.0005489214687,92,0,9.302656480895882,63.97488001403178,1,1,13.230968193777908,0,14,20654,21.21546350112772,0,0,0,33775.82386080623,1393.4987910037105,0,46,0
26,Female,Hyderabad,21,Business,Postpaid,2 Year,1,42.91138803010252,137.14586059577448,93,1,1.1504387932237348,86.95632744514565,2,0,25.592339770002017,1,16,5837,4.6139115985865065,0,0,2,40260.48407598536,923.1828356771924,2,19,0
24,Male,Kolkata,44,Consumer,Unlimited,Month-to-Month,5,38.74881443836394,330.38182569102906,63,0,6.3082074214308745,69.42030888490311,3,0,12.636301535043955,0,12,23930,55.70987547064384,2,0,1,37667.86589164745,906.0374277424136,2,4,0
67,Male,Bangalore,78,Business,Prepaid,2 Year,2,33.60675054329655,772.1943790356108,71,0,2.93991913694352,100.23701137153095,1,1,27.149994486358704,2,12,35304,6.857020142999016,2,1,0,40835.588416220045,1586.0769261398043,0,6,0
33,Male,Pune,101,Consumer,Enterprise,Month-to-Month,1,24.386665518819825,388.4758535976356,73,0,0.1121385224675586,65.20106435086748,3,1,28.64886119166235,2,10,30000,5.46898857154392,0,1,1,39230.28931118488,820.9222490118727,2,25,0
54,Male,Bangalore,63,Family,Prepaid,Month-to-Month,2,28.2332549106114,432.6819838419566,86,1,2.689484510696678,84.43683263171289,3,3,19.405385837815817,1,15,12059,7.55624810513692,1,1,0,25348.654142545107,1336.8590873488654,2,8,0
62,Female,Kolkata,96,Family,Enterprise,Month-to-Month,2,28.79355434839142,690.7513898529054,66,0,0.9477927702957434,71.34336072228322,0,3,25.565902967627643,0,13,16093,43.70766140430761,1,0,0,40341.30637588646,901.1189164203802,0,4,0
76,Male,Kolkata,61,Family,Postpaid,Month-to-Month,4,19.99453847923423,424.4942220610183,78,0,2.09678859816379,,4,2,11.131499265040611,2,11,16777,88.15525113392661,2,1,1,50398.851817699855,1801.1647612204667,0,14,1
70,Male,Pune,93,Business,Unlimited,Month-to-Month,1,22.222959036377155,741.3274544065496,86,0,6.561603196971481,85.97003869856061,1,3,21.760351347871435,2,12,23956,6.258539831645105,1,1,0,92283.0995112374,2108.384101104791,0,28,0
74,Male,Delhi,71,Consumer,Postpaid,Month-to-Month,1,56.823329447120045,855.9457930802771,91,0,1.2046810930956486,57.305220523864975,2,2,23.92000771407183,1,12,2133,47.17827693197133,0,1,1,38923.874090965386,315.6281439951849,1,44,0
64,Female,Kolkata,39,Family,Enterprise,Month-to-Month,5,39.55743123020534,279.983553768226,93,0,4.523805183152949,96.69694658365984,0,4,28.309265726942574,1,13,11528,90.83515657496258,0,1,0,50012.57969407242,1005.784966078981,3,45,0
61,Male,Hyderabad,51,Family,Postpaid,Month-to-Month,3,36.150825368132224,654.2285609852314,77,0,0.1170963165661498,113.41201878287517,3,3,24.8241874173363,0,9,34271,10.914690166996898,0,0,0,51487.09848573109,1897.4595676855124,1,21,0
74,Female,Delhi,107,Consumer,Postpaid,Month-to-Month,2,28.214800106767672,860.7964659620682,91,0,2.7196545859513943,105.8879745899576,0,1,24.63258180885916,1,14,41438,22.27140386570682,0,1,2,58837.33939418872,1396.852616994812,0,46,0
63,Female,Bangalore,71,Consumer,Unlimited,Month-to-Month,5,25.58300655173739,926.1387533216408,76,0,4.011243323946916,82.43893343504558,4,3,26.932810470016896,1,10,37886,94.14412744524658,0,0,0,60788.42672283809,757.3421691357387,1,37,0
70,Female,Delhi,12,Premium,Prepaid,Month-to-Month,5,29.263319975333182,745.0891958696722,73,0,5.435326288905236,125.97487621420004,2,1,14.4881805499108,0,11,43624,88.34316432140211,1,0,0,58710.23625967451,1997.87590960009,0,11,0
44,Male,Kolkata,80,Premium,Prepaid,Month-to-Month,2,48.31002051706957,1028.2694459994382,75,0,7.273814230002433,81.2116789903559,4,2,27.938444159472283,0,4,4752,95.06588307358486,1,0,1,42554.94047666536,1486.647717586976,2,35,1
56,Male,Chennai,75,Premium,Postpaid,Month-to-Month,2,98.6579408797332,829.7143900304095,95,0,0.5480425984298531,137.96508029728852,4,1,44.233500236630256,0,18,36696,58.63511551604791,0,0,1,71716.1130326545,1374.3443366009858,1,5,1
70,Female,Pune,32,Family,Prepaid,Month-to-Month,1,70.58742418580377,824.4351833570919,99,0,2.863865865845108,100.77438057666018,2,2,16.34219681702686,0,11,15464,43.53198661805183,1,1,0,45511.93405582335,726.3147264480418,0,35,0
21,Male,Kolkata,115,Consumer,Prepaid,Month-to-Month,1,40.761025889390446,304.17562697404355,61,0,2.6296143728241885,58.83025527099948,2,2,66.56403608468676,1,20,44259,10.487254193295591,1,1,0,36866.05367628615,784.2642651263484,3,30,0
50,Male,Chennai,21,Premium,Prepaid,1 Year,5,43.59329607908138,546.3566004126408,83,0,2.7505533823398465,55.3252154103688,3,4,23.613093380790797,2,16,11681,38.6201031597554,2,1,0,46607.44888941646,1911.8433453655289,1,32,0
46,Male,Bangalore,86,Family,Postpaid,Month-to-Month,4,51.197381580065326,711.4510813116924,78,0,6.025560226537285,78.71457293456497,2,2,28.00511534368033,0,10,27629,64.12664275105271,0,1,0,29902.2323694486,1575.8834486213666,1,43,0
60,Male,Chennai,31,Business,Unlimited,1 Year,2,28.510636603034115,834.1148675186602,70,0,2.570053916310272,74.00078755563932,1,1,39.600433100167336,1,11,47365,99.33249782423611,0,1,0,55179.62927916508,1996.9381291123132,1,6,0
68,Male,Hyderabad,60,Business,Postpaid,Month-to-Month,2,31.09458791439527,575.714297239219,82,0,5.667305987246975,135.71112937409356,3,1,29.89680821576658,0,15,42558,16.20572104657517,2,1,0,62059.29820197841,710.3023507356189,1,36,1
32,Male,Pune,74,Consumer,Unlimited,1 Year,3,16.69409205884497,0.0,82,0,1.187877916633645,65.88430408529459,2,2,38.55810908694231,3,15,2279,24.247727431240087,3,0,1,66074.50392558069,1371.5093793571357,2,41,0
72,Female,Hyderabad,114,Premium,Postpaid,1 Year,3,33.97483666525497,279.55416147023004,81,0,1.531380245123214,62.484884699525246,4,4,18.98950982735321,0,18,17510,8.301967663988897,0,1,1,54870.88613775401,906.994046425386,2,3,0
54,Female,Bangalore,81,Premium,Unlimited,1 Year,4,32.61860833909507,805.84349181517,81,0,9.405858093088302,110.79784633090335,1,0,12.294966149962695,4,16,34519,98.99446590780316,0,1,0,60908.20265474811,788.4670030592592,0,35,0
50,Female,Delhi,34,Consumer,Postpaid,Month-to-Month,5,22.68928622345338,891.7537958432822,70,0,8.00644109453106,65.15554169420375,4,1,28.93527795952132,0,17,17223,2.310166277599812,0,0,0,56590.457829178005,610.3804834229128,0,49,0
56,Female,Chennai,78,Premium,Postpaid,2 Year,5,37.6843991627338,620.6941530870344,75,0,3.962584842791399,159.57056925590143,3,1,17.36974386824726,2,9,8602,,1,1,1,45527.47639172607,1408.2525135572175,2,41,0
23,Female,Kolkata,4,Business,Prepaid,2 Year,5,49.19462972398833,871.5819212295312,77,0,5.061718002856519,82.76272795359581,1,1,40.68826502123075,0,14,30009,75.18139393518447,1,1,1,34804.12856331503,1616.9935839047616,3,5,0
52,Female,Mumbai,119,Consumer,Postpaid,2 Year,3,41.76853364208967,925.1725422492414,84,0,3.2954823306791523,77.8783092403608,2,0,27.42927073807481,2,16,37469,88.7928867639117,2,1,0,54119.47686082299,806.3954592573377,1,32,0
64,Female,Bangalore,108,Business,Unlimited,Month-to-Month,5,49.11411933186284,657.4110357073788,77,0,1.8313073887062887,59.60668298001027,1,5,23.543246135105,2,15,22451,86.50664361217525,1,0,0,45774.26861149293,463.0098342202765,2,18,0
73,Female,Kolkata,10,Premium,Enterprise,2 Year,5,31.91857574028914,804.6996966614294,69,0,1.6374092686051844,114.93054416459783,4,1,21.171734869042822,1,13,32008,16.613199739424942,0,1,0,73133.58772180237,963.5130533336952,2,7,1
78,Female,Kolkata,93,Family,Enterprise,Month-to-Month,5,34.41812725214199,840.4826972508932,81,0,9.386421456770144,35.23621228351017,0,2,20.914205294751724,3,12,3089,,2,1,0,49669.3686238833,478.2581394915619,2,48,1
63,Male,Kolkata,33,Premium,Enterprise,1 Year,4,22.677689824850983,444.64660653017626,70,0,7.643646927264753,63.29623431890881,4,3,26.00744134150416,1,13,19728,77.86131100795713,1,0,0,21092.36921547148,1640.2620991536803,0,28,0
48,Male,Delhi,86,Consumer,Unlimited,Month-to-Month,1,53.769994079176406,429.18973777637655,79,1,8.170260304853668,114.70203979648326,0,0,18.236403630065205,0,20,40256,53.96655495790775,0,0,0,73088.80303002725,2332.009780808876,2,44,0
43,Female,Bangalore,24,Family,Unlimited,1 Year,1,41.43595758532332,791.1966025612362,102,0,8.054519156450686,,1,2,19.11432311091445,1,9,27129,86.84506859293717,1,1,0,49357.6989663176,1436.1304863784635,1,1,1
66,Male,Hyderabad,59,Premium,Prepaid,1 Year,2,48.8963839805576,234.05311386349808,83,1,8.117263502640292,73.85791147666279,1,1,22.91029572244353,0,18,36431,67.78846011450888,1,1,1,52883.4124954466,719.3559868593118,0,14,0
24,Female,Pune,110,Family,Unlimited,Month-to-Month,4,36.09408318667874,760.6902467104248,100,0,8.092788721679876,85.14279864634547,4,3,32.14836268189006,2,11,9841,74.40344419469027,2,1,1,39503.29630305102,2671.823846787132,4,27,1
47,Male,Mumbai,52,Consumer,Postpaid,1 Year,5,46.77859607079783,1018.2498730353752,69,0,6.321482408737258,75.21916361442776,1,2,43.83581999408695,2,8,2356,71.27491342897486,0,1,0,43346.675588768376,1767.1289814309562,2,5,0
21,Male,Mumbai,31,Consumer,Unlimited,2 Year,5,41.85987530851293,514.7726764938452,80,0,3.095541113154292,65.32556260273107,1,0,34.412579722369806,1,18,45186,32.21503999144741,3,0,0,25141.2157840273,2231.311152381557,1,17,0
67,Female,Hyderabad,9,Family,Postpaid,Month-to-Month,2,51.25766285041868,436.118645399883,66,0,0.5611343850463257,99.82506794800616,3,1,8.781045695748956,1,18,2555,67.05574973574791,1,0,0,55727.122167654605,738.7230201084581,2,7,1
79,Female,Bangalore,38,Consumer,Prepaid,Month-to-Month,1,17.521808474095163,509.9215024335999,67,0,9.085092012110325,61.35181587058989,1,1,21.948986119746564,2,18,35169,72.14059076605378,0,1,0,74563.36721999373,846.2957490094589,1,31,0
36,Female,Kolkata,49,Premium,Enterprise,1 Year,1,51.433305253266965,64.91777220272286,84,0,3.770980846769839,77.39084596465288,1,0,22.679541726788,2,20,34173,,2,1,0,20973.868696104,1411.5690612492238,1,34,0
20,Female,Bangalore,118,Family,Prepaid,Month-to-Month,3,55.48617432526947,532.4508863201596,78,1,9.909844768865815,44.90966398322334,2,2,24.55735183916171,0,15,19980,28.01879472892937,1,1,2,47123.847400807965,606.7187755209262,0,25,0
52,Female,Mumbai,88,Consumer,Postpaid,1 Year,1,57.49357742031121,761.5474396672751,85,1,1.395063215574448,105.04803206430336,0,4,13.1772100396723,0,15,10756,31.925255912779992,1,1,1,47232.93005295342,1110.7061622805545,1,17,0
73,Female,Chennai,28,Business,Enterprise,2 Year,4,61.74075310820558,584.20670660445,83,0,8.181764661774128,108.82314805844588,0,3,28.529504851112826,2,16,24686,13.591082085553852,4,1,2,47811.05042096662,1322.2510776011186,0,40,0
34,Female,Hyderabad,108,Consumer,Prepaid,Month-to-Month,5,29.27092878707202,616.8438519455909,77,0,5.459253732565628,40.3811712056628,2,3,19.35385359175872,1,15,31500,89.70834709417949,1,1,0,59328.84825808076,1239.6306342724747,0,38,1
